Date,Close
01/03/2017 16:00,753.67
01/04/2017 16:00,757.18
01/05/2017 16:00,780.45
01/06/2017 16:00,795.99
01/09/2017 16:00,796.92
01/10/2017 16:00,795.9
01/11/2017 16:00,799.02
01/12/2017 16:00,813.64
01/13/2017 16:00,817.14
01/17/2017 16:00,809.72
01/18/2017 16:00,807.48
01/19/2017 16:00,809.04
01/20/2017 16:00,808.33
01/23/2017 16:00,817.88
01/24/2017 16:00,822.44
01/25/2017 16:00,836.52
01/26/2017 16:00,839.15
01/27/2017 16:00,835.77
01/30/2017 16:00,830.38
01/31/2017 16:00,823.48
02/01/2017 16:00,832.35
02/02/2017 16:00,839.95
02/03/2017 16:00,810.2
02/06/2017 16:00,807.64
02/07/2017 16:00,812.5
02/08/2017 16:00,819.71
02/09/2017 16:00,821.36
02/10/2017 16:00,827.46
02/13/2017 16:00,836.53
02/14/2017 16:00,836.39
02/15/2017 16:00,842.7
02/16/2017 16:00,844.14
02/17/2017 16:00,845.07
02/21/2017 16:00,856.44
02/22/2017 16:00,855.61
02/23/2017 16:00,852.19
02/24/2017 16:00,845.24
02/27/2017 16:00,848.64
02/28/2017 16:00,845.04
03/01/2017 16:00,853.08
03/02/2017 16:00,848.91
03/03/2017 16:00,849.88
03/06/2017 16:00,846.61
03/07/2017 16:00,846.02
03/08/2017 16:00,850.5
03/09/2017 16:00,853
03/10/2017 16:00,852.46
03/13/2017 16:00,854.59
03/14/2017 16:00,852.53
03/15/2017 16:00,852.97
03/16/2017 16:00,853.42
03/17/2017 16:00,852.31
03/20/2017 16:00,856.97
03/21/2017 16:00,843.2
03/22/2017 16:00,848.06
03/23/2017 16:00,847.38
03/24/2017 16:00,845.61
03/27/2017 16:00,846.82
03/28/2017 16:00,856
03/29/2017 16:00,874.32
03/30/2017 16:00,876.34
03/31/2017 16:00,886.54
04/03/2017 16:00,891.51
04/04/2017 16:00,906.83
04/05/2017 16:00,909.28
04/06/2017 16:00,898.28
04/07/2017 16:00,894.88
04/10/2017 16:00,907.04
04/11/2017 16:00,902.36
04/12/2017 16:00,896.23
04/13/2017 16:00,884.67
04/17/2017 16:00,901.99
04/18/2017 16:00,903.78
04/19/2017 16:00,899.2
04/20/2017 16:00,902.06
04/21/2017 16:00,898.53
04/24/2017 16:00,907.41
04/25/2017 16:00,907.62
04/26/2017 16:00,909.29
04/27/2017 16:00,918.38
04/28/2017 16:00,924.99
05/01/2017 16:00,948.23
05/02/2017 16:00,946.94
05/03/2017 16:00,941.03
05/04/2017 16:00,937.53
05/05/2017 16:00,934.15
05/08/2017 16:00,949.04
05/09/2017 16:00,952.82
05/10/2017 16:00,948.95
05/11/2017 16:00,947.62
05/12/2017 16:00,961.35
05/15/2017 16:00,957.97
05/16/2017 16:00,966.07
05/17/2017 16:00,944.76
05/18/2017 16:00,958.49
05/19/2017 16:00,959.84
05/22/2017 16:00,970.67
05/23/2017 16:00,971.54
05/24/2017 16:00,980.35
05/25/2017 16:00,993.38
05/26/2017 16:00,995.78
05/30/2017 16:00,996.7
05/31/2017 16:00,994.62
06/01/2017 16:00,995.95
06/02/2017 16:00,1006.73
06/05/2017 16:00,1011.34
06/06/2017 16:00,1003
06/07/2017 16:00,1010.07
06/08/2017 16:00,1010.27
