Date,Close
01/03/2017 16:00,29.04
01/04/2017 16:00,29.01
01/05/2017 16:00,29.15
01/06/2017 16:00,29.48
01/09/2017 16:00,29.75
01/10/2017 16:00,29.78
01/11/2017 16:00,29.94
01/12/2017 16:00,29.81
01/13/2017 16:00,29.76
01/17/2017 16:00,30
01/18/2017 16:00,30
01/19/2017 16:00,29.95
01/20/2017 16:00,30
01/23/2017 16:00,30.02
01/24/2017 16:00,29.99
01/25/2017 16:00,30.47
01/26/2017 16:00,30.49
01/27/2017 16:00,30.49
01/30/2017 16:00,30.41
01/31/2017 16:00,30.34
02/01/2017 16:00,32.19
02/02/2017 16:00,32.13
02/03/2017 16:00,32.27
02/06/2017 16:00,32.57
02/07/2017 16:00,32.88
02/08/2017 16:00,33.01
02/09/2017 16:00,33.1
02/10/2017 16:00,33.03
02/13/2017 16:00,33.32
02/14/2017 16:00,33.76
02/15/2017 16:00,33.88
02/16/2017 16:00,33.84
02/17/2017 16:00,33.93
02/21/2017 16:00,34.17
02/22/2017 16:00,34.28
02/23/2017 16:00,34.13
02/24/2017 16:00,34.17
02/27/2017 16:00,34.23
02/28/2017 16:00,34.25
03/01/2017 16:00,34.95
03/02/2017 16:00,34.74
03/03/2017 16:00,34.95
03/06/2017 16:00,34.84
03/07/2017 16:00,34.88
03/08/2017 16:00,34.75
03/09/2017 16:00,34.67
03/10/2017 16:00,34.78
03/13/2017 16:00,34.8
03/14/2017 16:00,34.75
03/15/2017 16:00,35.12
03/16/2017 16:00,35.17
03/17/2017 16:00,35
03/20/2017 16:00,35.37
03/21/2017 16:00,34.96
03/22/2017 16:00,35.35
03/23/2017 16:00,35.23
03/24/2017 16:00,35.16
03/27/2017 16:00,35.22
03/28/2017 16:00,35.95
03/29/2017 16:00,36.03
03/30/2017 16:00,35.98
03/31/2017 16:00,35.92
04/03/2017 16:00,35.92
04/04/2017 16:00,36.19
04/05/2017 16:00,36.01
04/06/2017 16:00,35.92
04/07/2017 16:00,35.84
04/10/2017 16:00,35.79
04/11/2017 16:00,35.41
04/12/2017 16:00,35.45
04/13/2017 16:00,35.26
04/17/2017 16:00,35.46
04/18/2017 16:00,35.3
04/19/2017 16:00,35.17
04/20/2017 16:00,35.61
04/21/2017 16:00,35.57
04/24/2017 16:00,35.91
04/25/2017 16:00,36.13
04/26/2017 16:00,35.92
04/27/2017 16:00,35.95
04/28/2017 16:00,35.91
05/01/2017 16:00,36.65
05/02/2017 16:00,36.88
05/03/2017 16:00,36.77
05/04/2017 16:00,36.63
05/05/2017 16:00,37.24
05/08/2017 16:00,38.25
05/09/2017 16:00,38.5
05/10/2017 16:00,38.32
05/11/2017 16:00,38.49
05/12/2017 16:00,39.03
05/15/2017 16:00,38.92
05/16/2017 16:00,38.87
05/17/2017 16:00,37.56
05/18/2017 16:00,38.14
05/19/2017 16:00,38.27
05/22/2017 16:00,38.5
05/23/2017 16:00,38.45
05/24/2017 16:00,38.34
05/25/2017 16:00,38.47
05/26/2017 16:00,38.4
05/30/2017 16:00,38.42
05/31/2017 16:00,38.19
06/01/2017 16:00,38.3
06/02/2017 16:00,38.86
06/05/2017 16:00,38.48
06/06/2017 16:00,38.61
06/07/2017 16:00,38.84
06/08/2017 16:00,38.75
06/09/2017 16:00,37.24
06/12/2017 16:00,36.35
06/13/2017 16:00,36.65
06/14/2017 16:00,36.29
06/15/2017 16:00,36.07
06/16/2017 16:00,35.57
06/19/2017 16:00,36.59
06/20/2017 16:00,36.25
06/21/2017 16:00,36.47
06/22/2017 16:00,36.41
06/23/2017 16:00,36.57
06/26/2017 16:00,36.46
06/27/2017 16:00,35.93
06/28/2017 16:00,36.46
06/29/2017 16:00,35.92
06/30/2017 16:00,36.01
07/03/2017 16:00,35.88
07/05/2017 16:00,36.02
07/06/2017 16:00,35.68
07/07/2017 16:00,36.05
07/10/2017 16:00,36.27
07/11/2017 16:00,36.38
07/12/2017 16:00,36.44
07/13/2017 16:00,36.94
07/14/2017 16:00,37.26
07/17/2017 16:00,37.39
07/18/2017 16:00,37.52
07/19/2017 16:00,37.76
07/20/2017 16:00,37.59
07/21/2017 16:00,37.57
07/24/2017 16:00,38.02
07/25/2017 16:00,38.19
